country,year,value
AD,1990,
AD,2000,
AD,2010,
AD,2015,
AD,2016,
AD,2017,
AD,2018,
AD,2019,
AD,2020,
AL,1990,
AL,2000,
AL,2010,
AL,2015,
AL,2016,
AL,2017,
AL,2018,
AL,2019,
AL,2020,
AM,1990,
AM,2000,
AM,2010,
AM,2015,
AM,2016,
AM,2017,
AM,2018,
AM,2019,
AM,2020,
AT,1990,3893340.0
AT,2000,3954850.0
AT,2010,3997410.0
AT,2015,4013420.0
AT,2016,4016630.0
AT,2017,4019820.0
AT,2018,4023010.0
AT,2019,4026200.0
AT,2020,4029390.0
AZ,1990,
AZ,2000,
AZ,2010,
AZ,2015,
AZ,2016,
AZ,2017,
AZ,2018,
AZ,2019,
AZ,2020,
BA,1990,2710000.0
BA,2000,2797640.0
BA,2010,2778260.0
BA,2015,2797140.0
BA,2016,2813640.0
BA,2017,2813280.0
BA,2018,2813280.0
BA,2019,2813280.0
BA,2020,2813280.0
BE,1990,698100.0
BE,2000,694400.0
BE,2010,722670.0
BE,2015,722200.0
BE,2016,722200.0
BE,2017,722200.0
BE,2018,722200.0
BE,2019,722200.0
BE,2020,722200.0
BG,1990,3457000.0
BG,2000,3479000.0
BG,2010,3761000.0
BG,2015,3857000.0
BG,2016,3865000.0
BG,2017,3878000.0
BG,2018,3891000.0
BG,2019,3904000.0
BG,2020,3917000.0
BY,1990,
BY,2000,
BY,2010,
BY,2015,
BY,2016,
BY,2017,
BY,2018,
BY,2019,
BY,2020,
CH,1990,1215020.0
CH,2000,1262340.0
CH,2010,1305350.0
CH,2015,1324680.0
CH,2016,1328550.0
CH,2017,1332420.0
CH,2018,1336290.0
CH,2019,1340160.0
CH,2020,1344030.0
CY,1990,
CY,2000,
CY,2010,
CY,2015,
CY,2016,
CY,2017,
CY,2018,
CY,2019,
CY,2020,
CZ,1990,2629420.0
CZ,2000,2637290.0
CZ,2010,2657380.0
CZ,2015,2668390.0
CZ,2016,2669850.0
CZ,2017,2671660.0
CZ,2018,2673470.0
CZ,2019,2675280.0
CZ,2020,2677090.0
DE,1990,11300000.0
DE,2000,11354000.0
DE,2010,11409000.0
DE,2015,11419000.0
DE,2016,11419000.0
DE,2017,11419000.0
DE,2018,11419000.0
DE,2019,11419000.0
DE,2020,11419000.0
DK,1990,667440.0
DK,2000,707600.0
DK,2010,633390.0
DK,2015,668760.0
DK,2016,669050.0
DK,2017,668130.0
DK,2018,667230.0
DK,2019,666310.0
DK,2020,665390.0
EE,1990,2402130.0
EE,2000,2392600.0
EE,2010,2444060.0
EE,2015,2520910.0
EE,2016,2517190.0
EE,2017,2532840.0
EE,2018,2532840.0
EE,2019,2532840.0
EE,2020,2532840.0
EL,1990,6509450.0
EL,2000,6523110.0
EL,2010,6536520.0
EL,2015,6536520.0
EL,2016,6536520.0
EL,2017,6536520.0
