category,year,value
A,2010,477910816.0
A,2011,476159086.0
A,2012,473495857.0
A,2013,475976194.0
A,2014,481397784.0
A,2015,483467151.0
A,2016,486495539.0
A,2017,491670843.0
A,2018,488957908.0
A,2019,485566281.0
A,2020,481267983.0
A,2021,476964670.0
A,2022,233730341.0
B,2010,69558706.0
B,2011,70280787.0
B,2012,66325944.0
B,2013,64355587.0
B,2014,62392839.0
B,2015,62720739.0
B,2016,60063406.0
B,2017,59148787.0
B,2018,57047810.0
B,2019,52524041.0
B,2020,49753808.0
B,2021,53046111.0
B,2022,26619214.0
C,2010,888652510.0
C,2011,869740047.0
C,2012,835307025.0
C,2013,809905535.0
C,2014,796736961.0
C,2015,798291682.0
C,2016,799480490.0
C,2017,815486711.0
C,2018,811234834.0
C,2019,794417057.0
C,2020,739504610.0
C,2021,801855365.0
C,2022,407091708.0
D,2010,1146745963.0
D,2011,1136611763.0
D,2012,1123581155.0
D,2013,1066898119.0
D,2014,1009711174.0
D,2015,1018573517.0
D,2016,999416533.0
D,2017,996786365.0
D,2018,938933706.0
D,2019,816285530.0
D,2020,718884728.0
D,2021,778777574.0
D,2022,392199498.0
E,2010,171132477.0
E,2011,167031189.0
E,2012,167612553.0
E,2013,165088955.0
E,2014,156778642.0
E,2015,155292510.0
E,2016,154465520.0
E,2017,154500183.0
E,2018,153285889.0
E,2019,151790810.0
E,2020,148050369.0
E,2021,150853104.0
E,2022,75426456.0
F,2010,54339682.0
F,2011,57102370.0
F,2012,54580862.0
F,2013,53517489.0
F,2014,52049795.0
F,2015,52836879.0
F,2016,52674364.0
F,2017,53929943.0
F,2018,55603285.0
F,2019,55864065.0
F,2020,52674050.0
F,2021,55868029.0
F,2022,28113742.0
G,2010,285602802.0
G,2011,268903836.0
G,2012,260996262.0
G,2013,261361146.0
G,2014,244790141.0
G,2015,251710752.0
G,2016,254553213.0
G,2017,257277681.0
G,2018,251583967.0
G,2019,251143604.0
G,2020,237278905.0
G,2021,252240693.0
G,2022,129342497.0
H,2010,440353041.0
H,2011,433044097.0
H,2012,427716663.0
H,2013,418460873.0
H,2014,405547053.0
H,2015,432881504.0
H,2016,439710742.0
H,2017,462913803.0
H,2018,475529600.0
H,2019,477897061.0
H,2020,382777668.0
H,2021,421629869.0
H,2022,229735451.0
HH,2010,842772925.0
HH,2011,788413768.0
HH,2012,781237820.0
HH,2013,782217653.0
HH,2014,741154950.0
HH,2015,764899208.0
HH,2016,778525683.0
HH,2017,774878918.0
HH,2018,761587719.0
HH,2019,757329698.0
HH,2020,692915547.0
HH,2021,759577457.0
HH,2022,394050999.0
