input,country,year,value
high,AD,2010,
high,AD,2011,
high,AD,2012,
high,AD,2013,
high,AD,2014,
high,AD,2015,
high,AD,2016,
high,AD,2017,
high,AD,2018,
high,AD,2019,
high,AL,2010,
high,AL,2011,
high,AL,2012,
high,AL,2013,
high,AL,2014,
high,AL,2015,
high,AL,2016,
high,AL,2017,
high,AL,2018,
high,AL,2019,
high,AM,2010,
high,AM,2011,
high,AM,2012,
high,AM,2013,
high,AM,2014,
high,AM,2015,
high,AM,2016,
high,AM,2017,
high,AM,2018,
high,AM,2019,
high,AT,2010,963256.0
high,AT,2011,974908.0
high,AT,2012,1014948.0
high,AT,2013,1106513.0
high,AT,2014,1193634.0
high,AT,2015,1163347.0
high,AT,2016,1206133.0
high,AT,2017,1213687.0
high,AT,2018,1192389.0
high,AT,2019,1201862.0
high,AZ,2010,
high,AZ,2011,
high,AZ,2012,
high,AZ,2013,
high,AZ,2014,
high,AZ,2015,
high,AZ,2016,
high,AZ,2017,
high,AZ,2018,
high,AZ,2019,
high,BA,2010,
high,BA,2011,
high,BA,2012,
high,BA,2013,
high,BA,2014,
high,BA,2015,
high,BA,2016,
high,BA,2017,
high,BA,2018,
high,BA,2019,
high,BE,2010,496754.0
high,BE,2011,464342.0
high,BE,2012,401501.0
high,BE,2013,338333.0
high,BE,2014,290051.0
high,BE,2015,218540.0
high,BE,2016,230739.0
high,BE,2017,200116.0
high,BE,2018,213910.0
high,BE,2019,226210.0
high,BG,2010,1347627.0
high,BG,2011,1823662.0
high,BG,2012,2412609.0
high,BG,2013,2914108.0
high,BG,2014,3619656.0
high,BG,2015,3202051.0
high,BG,2016,3416134.0
high,BG,2017,3222465.0
high,BG,2018,2939012.0
high,BG,2019,3046977.0
high,BY,2010,
high,BY,2011,
high,BY,2012,
high,BY,2013,
high,BY,2014,
high,BY,2015,
high,BY,2016,
high,BY,2017,
high,BY,2018,
high,BY,2019,
high,CH,2010,
high,CH,2011,
high,CH,2012,
high,CH,2013,
high,CH,2014,
high,CH,2015,
high,CH,2016,
high,CH,2017,
high,CH,2018,
high,CH,2019,
high,CY,2010,31760.0
high,CY,2011,30080.0
high,CY,2012,30813.0
high,CY,2013,28146.0
high,CY,2014,29390.0
high,CY,2015,30815.0
high,CY,2016,9131.0
high,CY,2017,13601.0
high,CY,2018,17332.0
high,CY,2019,17949.0
high,CZ,2010,1110018.0
high,CZ,2011,1363556.0
high,CZ,2012,1322041.0
high,CZ,2013,1386117.0
high,CZ,2014,1428114.0
high,CZ,2015,1446010.0
high,CZ,2016,1517259.0
high,CZ,2017,1612720.0
high,CZ,2018,1597448.0
high,CZ,2019,1606303.0
high,DE,2010,5516134.0
high,DE,2011,6161995.0
high,DE,2012,6353119.0
high,DE,2013,6723299.0
high,DE,2014,6832904.0
high,DE,2015,5774371.0
high,DE,2016,5977051.0
high,DE,2017,6262269.0
high,DE,2018,7121183.0
high,DE,2019,7103837.0
high,DK,2010,891253.0
high,DK,2011,942693.0
high,DK,2012,811005.0
high,DK,2013,930015.0
high,DK,2014,788738.0
high,DK,2015,745364.0
high,DK,2016,813755.0
high,DK,2017,797535.0
high,DK,2018,765919.0
high,DK,2019,789567.0
high,EE,2010,330889.0
high,EE,2011,529109.0
high,EE,2012,517290.0
high,EE,2013,585241.0
high,EE,2014,557457.0
high,EE,2015,596491.0
high,EE,2016,572818.0
high,EE,2017,588943.0
high,EE,2018,590434.0
high,EE,2019,597463.0
high,EL,2010,893353.0
high,EL,2011,941416.0
high,EL,2012,957983.0
high,EL,2013,879826.0
high,EL,2014,1027872.0
high,EL,2015,966948.0
high,EL,2016,943096.0
high,EL,2017,974538.0
high,EL,2018,975116.0
high,EL,2019,908929.0
high,ES,2010,6543721.0
high,ES,2011,7187437.0
high,ES,2012,7393846.0
high,ES,2013,8378546.0
high,ES,2014,8471910.0
high,ES,2015,8326634.0
high,ES,2016,8504528.0
high,ES,2017,8446828.0
high,ES,2018,8567602.0
high,ES,2019,8438911.0
high,FI,2010,720002.0
high,FI,2011,653523.0
high,FI,2012,593222.0
high,FI,2013,638452.0
high,FI,2014,652538.0
high,FI,2015,616293.0
high,FI,2016,646648.0
high,FI,2017,647414.0
high,FI,2018,611566.0
high,FI,2019,613873.0
high,FO,2010,
high,FO,2011,
high,FO,2012,
high,FO,2013,
high,FO,2014,
high,FO,2015,
high,FO,2016,
high,FO,2017,
high,FO,2018,
high,FO,2019,
high,FR,2010,8616921.0
high,FR,2011,8745374.0
high,FR,2012,9909431.0
high,FR,2013,10764870.0
high,FR,2014,11296472.0
high,FR,2015,10261471.0
high,FR,2016,10531135.0
high,FR,2017,9401630.0
high,FR,2018,9823494.0
high,FR,2019,9884670.0
high,GE,2010,
high,GE,2011,
high,GE,2012,
high,GE,2013,
high,GE,2014,
high,GE,2015,
high,GE,2016,
high,GE,2017,
high,GE,2018,
high,GE,2019,
high,HR,2010,
high,HR,2011,
high,HR,2012,
high,HR,2013,425837.0
high,HR,2014,415132.0
high,HR,2015,350044.0
high,HR,2016,447423.0
high,HR,2017,467088.0
high,HR,2018,562698.0
high,HR,2019,610044.0
high,HU,2010,1810522.0
high,HU,2011,2137538.0
high,HU,2012,2042267.0
high,HU,2013,2184976.0
high,HU,2014,2184850.0
high,HU,2015,1883117.0
high,HU,2016,2117726.0
high,HU,2017,2127595.0
high,HU,2018,1874096.0
high,HU,2019,1980472.0
high,IE,2010,1532518.0
high,IE,2011,1461961.0
high,IE,2012,1630087.0
high,IE,2013,1830091.0
high,IE,2014,1617496.0
high,IE,2015,1739448.0
high,IE,2016,1847286.0
high,IE,2017,1888527.0
high,IE,2018,2034701.0
high,IE,2019,1715297.0
high,IL,2010,
high,IL,2011,
high,IL,2012,
high,IL,2013,
high,IL,2014,
high,IL,2015,
high,IL,2016,
high,IL,2017,
high,IL,2018,
high,IL,2019,
high,IS,2010,
high,IS,2011,
high,IS,2012,
high,IS,2013,
high,IS,2014,
high,IS,2015,
high,IS,2016,
high,IS,2017,
high,IS,2018,
high,IS,2019,
high,IT,2010,4168153.0
high,IT,2011,4210649.0
high,IT,2012,4113331.0
high,IT,2013,4020964.0
high,IT,2014,3795244.0
high,IT,2015,4165717.0
high,IT,2016,4125719.0
high,IT,2017,3995427.0
high,IT,2018,3974145.0
high,IT,2019,4004082.0
high,LI,2010,
high,LI,2011,
high,LI,2012,
high,LI,2013,
high,LI,2014,
high,LI,2015,
high,LI,2016,
high,LI,2017,
high,LI,2018,
high,LI,2019,
high,LT,2010,854344.0
high,LT,2011,780575.0
high,LT,2012,996077.0
high,LT,2013,1035294.0
high,LT,2014,1132698.0
high,LT,2015,1302184.0
high,LT,2016,1408576.0
high,LT,2017,1353272.0
high,LT,2018,1351536.0
high,LT,2019,1356021.0
high,LU,2010,41993.0
high,LU,2011,50264.0
high,LU,2012,53724.0
high,LU,2013,56255.0
high,LU,2014,48537.0
high,LU,2015,51439.0
