indicator,source,year,value
TD_EUR_A,GISTEMP,2000,1.54
TD_EUR_A,GISTEMP,2001,1.38
TD_EUR_A,GISTEMP,2002,1.61
TD_EUR_A,GISTEMP,2003,1.54
TD_EUR_A,GISTEMP,2004,1.43
TD_EUR_A,GISTEMP,2005,1.37
TD_EUR_A,GISTEMP,2006,1.72
TD_EUR_A,GISTEMP,2007,1.75
TD_EUR_A,GISTEMP,2008,1.64
TD_EUR_A,GISTEMP,2009,1.6
TD_EUR_A,GISTEMP,2010,1.21
TD_EUR_A,GISTEMP,2011,1.73
TD_EUR_A,GISTEMP,2012,1.48
TD_EUR_A,GISTEMP,2013,1.53
TD_EUR_A,GISTEMP,2014,2.27
TD_EUR_A,GISTEMP,2015,1.99
TD_EUR_A,GISTEMP,2016,2.09
TD_EUR_A,GISTEMP,2017,1.98
TD_EUR_A,GISTEMP,2018,2.23
TD_EUR_A,GISTEMP,2019,2.12
