indicator,source,year,value
TD_GLB_A,GISTEMP,2000,0.63
TD_GLB_A,GISTEMP,2001,0.77
TD_GLB_A,GISTEMP,2002,0.86
TD_GLB_A,GISTEMP,2003,0.85
TD_GLB_A,GISTEMP,2004,0.77
TD_GLB_A,GISTEMP,2005,0.91
TD_GLB_A,GISTEMP,2006,0.87
TD_GLB_A,GISTEMP,2007,0.89
TD_GLB_A,GISTEMP,2008,0.77
TD_GLB_A,GISTEMP,2009,0.89
TD_GLB_A,GISTEMP,2010,0.96
TD_GLB_A,GISTEMP,2011,0.84
TD_GLB_A,GISTEMP,2012,0.87
TD_GLB_A,GISTEMP,2013,0.92
TD_GLB_A,GISTEMP,2014,0.98
TD_GLB_A,GISTEMP,2015,1.13
TD_GLB_A,GISTEMP,2016,1.25
TD_GLB_A,GISTEMP,2017,1.15
TD_GLB_A,GISTEMP,2018,1.08
TD_GLB_A,GISTEMP,2019,1.21
