country,year,value
AL,2009,0.0
AL,2010,0.0
AL,2011,0.0
AL,2012,0.0
AL,2013,0.0
AL,2014,0.0
AL,2015,0.0
AL,2016,0.0
AL,2017,0.0
AL,2018,0.0
AL,2019,0.0
AL,2020,0.0
AL,2021,0.0
AT,2009,0.0
AT,2010,0.0
AT,2011,0.0
AT,2012,0.0
AT,2013,0.0
AT,2014,0.0
AT,2015,0.0
AT,2016,0.0
AT,2017,0.0
AT,2018,0.0
AT,2019,0.0
AT,2020,0.0
AT,2021,0.0
BA,2009,0.0
BA,2010,0.0
BA,2011,0.0
BA,2012,0.0
BA,2013,0.0
BA,2014,0.0
BA,2015,0.0
BA,2016,0.0
BA,2017,0.0
BA,2018,0.0
BA,2019,0.0
BA,2020,0.0
BA,2021,0.0
BE,2009,11853287.0
BE,2010,11608853.0
BE,2011,11700611.0
BE,2012,9765313.0
BE,2013,10336494.0
BE,2014,8176237.0
BE,2015,6283178.0
BE,2016,10588967.0
BE,2017,10299710.0
BE,2018,6960862.0
BE,2019,10593545.0
BE,2020,8371015.0
BE,2021,12223218.0
BG,2009,3877910.0
BG,2010,3849120.0
BG,2011,4105070.0
BG,2012,4020240.0
BG,2013,3667580.0
BG,2014,4046700.0
BG,2015,3912000.0
BG,2016,4010900.0
BG,2017,3940700.0
BG,2018,4168300.0
BG,2019,4301762.0
BG,2020,4334677.0
BG,2021,4294944.0
CY,2009,0.0
CY,2010,0.0
CY,2011,0.0
CY,2012,0.0
CY,2013,0.0
CY,2014,0.0
CY,2015,0.0
CY,2016,0.0
CY,2017,0.0
CY,2018,0.0
CY,2019,0.0
CY,2020,0.0
CY,2021,0.0
CZ,2009,6975351.0
CZ,2010,7160395.0
CZ,2011,7199850.0
CZ,2012,7673985.0
CZ,2013,7758521.0
CZ,2014,7630766.0
CZ,2015,6680352.0
CZ,2016,5977498.0
CZ,2017,7016777.0
CZ,2018,7449000.0
CZ,2019,7548204.0
CZ,2020,7496295.0
CZ,2021,7641632.0
DE,2009,34733200.0
DE,2010,36200800.0
DE,2011,27807200.0
DE,2012,25618600.0
DE,2013,25052200.0
DE,2014,25010700.0
DE,2015,23636344.0
DE,2016,21794700.0
DE,2017,19654700.0
DE,2018,19571000.0
DE,2019,19332000.0
DE,2020,16576800.0
DE,2021,17768590.0
DK,2009,0.0
DK,2010,0.0
DK,2011,0.0
DK,2012,0.0
DK,2013,0.0
DK,2014,0.0
DK,2015,0.0
DK,2016,0.0
DK,2017,0.0
DK,2018,0.0
DK,2019,0.0
DK,2020,0.0
DK,2021,0.0
EE,2009,0.0
EE,2010,0.0
EE,2011,0.0
EE,2012,0.0
EE,2013,0.0
EE,2014,0.0
EE,2015,0.0
EE,2016,0.0
EE,2017,0.0
EE,2018,0.0
EE,2019,0.0
EE,2020,0.0
EE,2021,0.0
EL,2009,0.0
EL,2010,0.0
EL,2011,0.0
EL,2012,0.0
EL,2013,0.0
EL,2014,0.0
EL,2015,0.0
EL,2016,0.0
EL,2017,0.0
EL,2018,0.0
EL,2019,0.0
EL,2020,0.0
EL,2021,0.0
ES,2009,13783000.0
ES,2010,16134800.0
ES,2011,15044700.0
ES,2012,15990500.0
ES,2013,14785000.0
ES,2014,14931100.0
ES,2015,14903200.0
ES,2016,15272900.0
ES,2017,15131490.0
ES,2018,14478800.0
ES,2019,15218000.0
ES,2020,15174000.0
ES,2021,14725000.0
FI,2009,5762000.0
FI,2010,5565000.0
FI,2011,5627000.0
FI,2012,5536000.0
FI,2013,5694000.0
FI,2014,5688000.0
FI,2015,5606200.0
FI,2016,5589800.0
FI,2017,5390100.0
FI,2018,5444100.0
FI,2019,5675900.0
FI,2020,5547600.0
FI,2021,5609200.0
FR,2009,106857000.0
FR,2010,111612000.0
FR,2011,115209000.0
FR,2012,110863000.0
FR,2013,110414916.0
FR,2014,113747770.0
FR,2015,113996445.0
FR,2016,105078837.0
FR,2017,103860740.0
FR,2018,107628690.0
FR,2019,103987000.0
FR,2020,92211000.0
FR,2021,98864000.0
GE,2009,0.0
GE,2010,0.0
GE,2011,0.0
GE,2012,0.0
GE,2013,0.0
GE,2014,0.0
GE,2015,0.0
GE,2016,0.0
GE,2017,0.0
GE,2018,0.0
GE,2019,0.0
GE,2020,0.0
GE,2021,0.0
HR,2009,0.0
HR,2010,0.0
HR,2011,0.0
HR,2012,0.0
HR,2013,0.0
HR,2014,0.0
HR,2015,0.0
HR,2016,0.0
HR,2017,0.0
HR,2018,0.0
HR,2019,0.0
HR,2020,0.0
HR,2021,0.0
HU,2009,3878000.0
HU,2010,3963000.0
HU,2011,3964900.0
HU,2012,3986135.0
HU,2013,3869526.0
HU,2014,3937414.0
HU,2015,3994282.0
HU,2016,4070704.0
HU,2017,4084000.0
HU,2018,4006000.0
HU,2019,4106000.0
HU,2020,4053000.0
HU,2021,4034000.0
IE,2009,0.0
IE,2010,0.0
IE,2011,0.0
IE,2012,0.0
IE,2013,0.0
IE,2014,0.0
IE,2015,0.0
IE,2016,0.0
IE,2017,0.0
IE,2018,0.0
IE,2019,0.0
IE,2020,0.0
IE,2021,0.0
IS,2009,0.0
IS,2010,0.0
IS,2011,0.0
IS,2012,0.0
IS,2013,0.0
IS,2014,0.0
IS,2015,0.0
IS,2016,0.0
IS,2017,0.0
IS,2018,0.0
IS,2019,0.0
IS,2020,0.0
IS,2021,0.0
IT,2009,0.0
IT,2010,0.0
IT,2011,0.0
IT,2012,0.0
IT,2013,0.0
IT,2014,0.0
IT,2015,0.0
IT,2016,0.0
IT,2017,0.0
IT,2018,0.0
IT,2019,0.0
IT,2020,0.0
IT,2021,0.0
LI,2009,0.0
LI,2010,0.0
LI,2011,0.0
LI,2012,0.0
LI,2013,0.0
LI,2014,0.0
LI,2015,0.0
LI,2016,0.0
LI,2017,0.0
LI,2018,0.0
LI,2019,0.0
LI,2020,0.0
LI,2021,0.0
LT,2009,2845500.0
LT,2010,0.0
LT,2011,0.0
LT,2012,0.0
LT,2013,0.0
LT,2014,0.0
LT,2015,0.0
LT,2016,0.0
LT,2017,0.0
LT,2018,0.0
LT,2019,0.0
LT,2020,0.0
LT,2021,0.0
LU,2009,0.0
LU,2010,0.0
LU,2011,0.0
LU,2012,0.0
LU,2013,0.0
LU,2014,0.0
LU,2015,0.0
LU,2016,0.0
LU,2017,0.0
LU,2018,0.0
LU,2019,0.0
LU,2020,0.0
LU,2021,0.0
LV,2009,0.0
LV,2010,0.0
LV,2011,0.0
LV,2012,0.0
