country,year,loss,nuclear
Belgium,2010,397000000,11608853.0
Belgium,2020,377000000,8371015.0
Germany,2010,2469000000,36200800.0
Germany,2020,1724000000,16576800.0
Denmark,2010,105000000,0.0
Denmark,2020,55000000,0.0
Greece,2010,1000000,0.0
Greece,2020,969000000,0.0
Spain,2010,1087000000,16134800.0
Spain,2020,658000000,15174000.0
Finland,2010,113000000,5565000.0
Finland,2020,86000000,5547600.0
France,2010,4794000000,111612000.0
France,2020,4192000000,92211000.0
Italy,2010,708000000,0.0
Italy,2020,2464000000,0.0
Poland,2010,2857000000,0.0
Poland,2020,327000000,0.0
Portugal,2010,1359000000,0.0
Portugal,2020,88000000,0.0
Romania,2010,1165000000,2922830.0
Romania,2020,370000000,2887000.0
Sweden,2010,82000000,14498000.0
Sweden,2020,63000000,12028000.0
Slovakia,2010,23000000,3853280.0
Slovakia,2020,22000000,4044000.0
