country,year,value
AT,2014,141270000.0
AT,2015,117620000.0
AT,2016,199260000.0
AT,2017,164140000.0
AT,2018,239470000.0
AT,2019,332820000.0
AT,2020,257950000.0
AT,2021,248610000.0
BE,2014,142740000.0
BE,2015,46830000.0
BE,2016,100920000.0
BE,2017,104920000.0
BE,2018,80680000.0
BE,2019,99710000.0
BE,2020,119250000.0
BE,2021,282570000.0
CZ,2014,7660000.0
CZ,2015,8190000.0
CZ,2016,7550000.0
CZ,2017,7070000.0
CZ,2018,7200000.0
CZ,2019,7470000.0
CZ,2020,12230000.0
CZ,2021,11510000.0
DE,2014,5130610000.0
DE,2015,7406150000.0
DE,2016,8534080000.0
DE,2017,6729600000.0
DE,2018,6611980000.0
DE,2019,6811790000.0
DE,2020,7698280000.0
DE,2021,7844730000.0
DK,2014,222040000.0
DK,2015,143790000.0
DK,2016,172980000.0
DK,2017,181720000.0
DK,2018,198160000.0
DK,2019,246900000.0
DK,2020,272660000.0
DK,2021,386140000.0
EE,2014,530000.0
EE,2015,1210000.0
EE,2016,380000.0
EE,2017,620000.0
EE,2018,970000.0
EE,2019,530000.0
EE,2020,1970000.0
EE,2021,2770000.0
EL,2014,40000.0
EL,2015,230000.0
EL,2016,230000.0
EL,2017,4590000.0
EL,2018,3770000.0
EL,2019,690000.0
EL,2020,1110000.0
EL,2021,8280000.0
ES,2014,498750000.0
ES,2015,466720000.0
ES,2016,595030000.0
ES,2017,529060000.0
ES,2018,694940000.0
ES,2019,740140000.0
ES,2020,529780000.0
ES,2021,726720000.0
FI,2014,132250000.0
FI,2015,115430000.0
FI,2016,43040000.0
FI,2017,119380000.0
FI,2018,46590000.0
FI,2019,146760000.0
FI,2020,125460000.0
FI,2021,146510000.0
FR,2014,2921430000.0
FR,2015,2792830000.0
FR,2016,3334840000.0
FR,2017,4377380000.0
FR,2018,5088760000.0
FR,2019,5958780000.0
FR,2020,6715530000.0
FR,2021,5781840000.0
HU,2014,2710000.0
HU,2015,41340000.0
HU,2016,35290000.0
HU,2017,13980000.0
HU,2018,3090000.0
HU,2019,3390000.0
HU,2020,11790000.0
HU,2021,19010000.0
IE,2014,41440000.0
IE,2015,36000000.0
IE,2016,52700000.0
IE,2017,64470000.0
IE,2018,77210000.0
IE,2019,70230000.0
IE,2020,89160000.0
IE,2021,91780000.0
IT,2014,143230000.0
IT,2015,327340000.0
IT,2016,242950000.0
IT,2017,632620000.0
IT,2018,451960000.0
IT,2019,417590000.0
IT,2020,582810000.0
IT,2021,731400000.0
LT,2014,260000.0
LT,2015,430000.0
LT,2016,540000.0
LT,2017,1480000.0
LT,2018,760000.0
LT,2019,1990000.0
LT,2020,2730000.0
